codigo,disciplina,turma,horario,local,docente,modalidade_educacao,unidade_responsavel,codigo_componente,nome_componente,pre_requisitos,ementa
01,FGA0054 - TÓPICOS ESPECIAIS EM GOVERNANÇA DE TECNOLOGIA DA INFORMAÇÃO,WANDER CLEBER MARIA PEREIRA DA SILVA (60h),"35M34
											


		

											Terça-feira 10:00 às 11:50Quinta-feira 10:00 às 11:50",,20,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0055 - TECNOLOGIAS DE FABRICAÇÃO 1,RHANDER VIANA (60h),"35T23
											


		

											Terça-feira 14:00 às 15:50Quinta-feira 14:00 às 15:50",,20,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0056 - TECNOLOGIAS DE FABRICAÇÃO 2,EDISON GUSTAVO CUEVA GALARRAGA (60h),"35M34
											


		

											Terça-feira 10:00 às 11:50Quinta-feira 10:00 às 11:50",,20,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0060 - SISTEMAS DE BANCO DE DADOS 2,VANDOR ROBERTO VILARDI RISSOLI (60h),"35M12
											


		

											Terça-feira 08:00 às 09:50Quinta-feira 08:00 às 09:50",,80,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
02,FGA0060 - SISTEMAS DE BANCO DE DADOS 2,VANDOR ROBERTO VILARDI RISSOLI (60h),"35T23
											


		

											Terça-feira 14:00 às 15:50Quinta-feira 14:00 às 15:50",,80,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0062 - PROJETO DE SISTEMAS DE OBSERVAÇÃO DA TERRA,RONNE TOLEDO (60h),"24T45
											


		

											Segunda-feira 16:00 às 17:50Quarta-feira 16:00 às 17:50",,45,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0063 - PROPULSÃO AERONÁUTICA,RAFAEL CASTILHO FARIA MENDES (60h),"46M34
											


		

											Quarta-feira 10:00 às 11:50Sexta-feira 10:00 às 11:50",,45,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
02,FGA0067 - TEORIA DE CIRCUITOS ELETRÔNICOS 1,EULER DE VILHENA GARCIA (60h),"35M12
											


		

											Terça-feira 08:00 às 09:50Quinta-feira 08:00 às 09:50",,90,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
03,FGA0067 - TEORIA DE CIRCUITOS ELETRÔNICOS 1,LUCIANO EMIDIO NEVES DA FONSECA (60h),"24T23
											


		

											Segunda-feira 14:00 às 15:50Quarta-feira 14:00 às 15:50",,90,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0068 - TEORIA DE CIRCUITOS ELETRÔNICOS 2,GILMAR SILVA BESERRA (60h),"24M12
											


		

											Segunda-feira 08:00 às 09:50Quarta-feira 08:00 às 09:50",,60,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0069 - PRÁTICA DE CIRCUITOS ELETRÔNICOS 1,MARCUS VINICIUS CHAFFIM COSTA (30h),"6M12
											


		

											Sexta-feira 08:00 às 09:50",,24,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
02,FGA0069 - PRÁTICA DE CIRCUITOS ELETRÔNICOS 1,MARCUS VINICIUS CHAFFIM COSTA (30h),"6M34
											


		

											Sexta-feira 10:00 às 11:50",,24,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
03,FGA0069 - PRÁTICA DE CIRCUITOS ELETRÔNICOS 1,MARCUS VINICIUS CHAFFIM COSTA (30h),"4M34
											


		

											Quarta-feira 10:00 às 11:50",,24,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0070 - PRÁTICA DE CIRCUITOS ELETRÔNICOS 2,TIAGO MARTINS DE BRITO (30h),"6T23
											


		

											Sexta-feira 14:00 às 15:50",,20,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0071 - PRÁTICA DE ELETRÔNICA DIGITAL 1,HENRIQUE MARRA TAIRA MENEGAZ (30h),"5T23
											


		

											Quinta-feira 14:00 às 15:50",,16,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
02,FGA0071 - PRÁTICA DE ELETRÔNICA DIGITAL 1,HENRIQUE MARRA TAIRA MENEGAZ (30h),"5M12
											


		

											Quinta-feira 08:00 às 09:50",,16,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
03,FGA0071 - PRÁTICA DE ELETRÔNICA DIGITAL 1,HENRIQUE MARRA TAIRA MENEGAZ (30h),"5M34
											


		

											Quinta-feira 10:00 às 11:50",,16,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
04,FGA0071 - PRÁTICA DE ELETRÔNICA DIGITAL 1,HENRIQUE MARRA TAIRA MENEGAZ (30h),"5T45
											


		

											Quinta-feira 16:00 às 17:50",,16,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
06,FGA0071 - PRÁTICA DE ELETRÔNICA DIGITAL 1,MARCELINO MONTEIRO DE ANDRADE (30h),"4M12
											


		

											Quarta-feira 08:00 às 09:50",,16,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
07,FGA0071 - PRÁTICA DE ELETRÔNICA DIGITAL 1,MARCELINO MONTEIRO DE ANDRADE (30h),"4M34
											


		

											Quarta-feira 10:00 às 11:50",,16,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
08,FGA0071 - PRÁTICA DE ELETRÔNICA DIGITAL 1,MARCELINO MONTEIRO DE ANDRADE (30h),"4T23
											


		

											Quarta-feira 14:00 às 15:50",,16,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
09,FGA0071 - PRÁTICA DE ELETRÔNICA DIGITAL 1,MARCELINO MONTEIRO DE ANDRADE (30h),"4T45
											


		

											Quarta-feira 16:00 às 17:50",,16,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0072 - PRÁTICA DE ELETRÔNICA DIGITAL 2,GILMAR SILVA BESERRA (30h),"4M34
											


		

											Quarta-feira 10:00 às 11:50",,30,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
02,FGA0072 - PRÁTICA DE ELETRÔNICA DIGITAL 2,GILMAR SILVA BESERRA (30h),"2M34
											


		

											Segunda-feira 10:00 às 11:50",,30,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
01,FGA0073 - TEORIA DE ELETRÔNICA DIGITAL 1,RENATO VILELA LOPES (60h),"46M12
											


		

											Quarta-feira 08:00 às 09:50Sexta-feira 08:00 às 09:50",,80,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
02,FGA0073 - TEORIA DE ELETRÔNICA DIGITAL 1,RENATO VILELA LOPES (60h),"46T23
											


		

											Quarta-feira 14:00 às 15:50Sexta-feira 14:00 às 15:50",,80,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
03,FGA0073 - TEORIA DE ELETRÔNICA DIGITAL 1,LUIS FILOMENO DE JESUS FERNANDES (60h),"35T45
											


		

											Terça-feira 16:00 às 17:50Quinta-feira 16:00 às 17:50",,80,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
