codigo,disciplina,turma,horario,local,docente
07,2025.1,MARCELINO MONTEIRO DE ANDRADE (30h),"4M34
											


		

											Quarta-feira 10:00 às 11:50",,16
08,2025.1,MARCELINO MONTEIRO DE ANDRADE (30h),"4T23
											


		

											Quarta-feira 14:00 às 15:50",,16
09,2025.1,MARCELINO MONTEIRO DE ANDRADE (30h),"4T45
											


		

											Quarta-feira 16:00 às 17:50",,16
01,2025.1,GILMAR SILVA BESERRA (30h),"4M34
											


		

											Quarta-feira 10:00 às 11:50",,30
02,2025.1,GILMAR SILVA BESERRA (30h),"2M34
											


		

											Segunda-feira 10:00 às 11:50",,30
01,2025.1,RENATO VILELA LOPES (60h),"46M12
											


		

											Quarta-feira 08:00 às 09:50Sexta-feira 08:00 às 09:50",,80
02,2025.1,RENATO VILELA LOPES (60h),"46T23
											


		

											Quarta-feira 14:00 às 15:50Sexta-feira 14:00 às 15:50",,80
03,2025.1,LUIS FILOMENO DE JESUS FERNANDES (60h),"35T45
											


		

											Terça-feira 16:00 às 17:50Quinta-feira 16:00 às 17:50",,80
01,2025.1,DANIEL MAURICIO MUNOZ ARBOLEDA (60h),"35M34
											


		

											Terça-feira 10:00 às 11:50Quinta-feira 10:00 às 11:50",,60
01,2025.1,EMMANUEL PACHECO ROCHA LIMA (15h),"2T4
											


		

											Segunda-feira 16:00 às 16:55",,15
02,2025.1,EMMANUEL PACHECO ROCHA LIMA (15h),"4T4
											


		

											Quarta-feira 16:00 às 16:55",,15
03,2025.1,RODRIGO ARBEY MUNOZ MENESES (15h),"4M3
											


		

											Quarta-feira 10:00 às 10:55",,15
04,2025.1,EMMANUEL PACHECO ROCHA LIMA (15h),"4M5
											


		

											Quarta-feira 12:00 às 12:55",,15
08,2025.1,SANDRA MARIA DA LUZ (15h),"2M2
											


		

											Segunda-feira 08:55 às 09:50",,15
09,2025.1,SANDRA MARIA DA LUZ (15h),"2M3
											


		

											Segunda-feira 10:00 às 10:55",,15
01,2025.1,"ALESSANDRO BORGES DE SOUSA OLIVEIRA (30h)
										
										
										FABIO ALFAIA DA CUNHA (30h)","46M12
											


		

											Quarta-feira 08:00 às 09:50Sexta-feira 08:00 às 09:50",,45
01,2025.1,EDISON GUSTAVO CUEVA GALARRAGA (60h),"35T23
											


		

											Terça-feira 14:00 às 15:50Quinta-feira 14:00 às 15:50",,15
01,2025.1,EMMANUEL PACHECO ROCHA LIMA (45h),"2T23 4T1
											


		

											Segunda-feira 14:00 às 15:50Quarta-feira 12:55 às 13:50",,60
02,2025.1,RODRIGO ARBEY MUNOZ MENESES (45h),"3T23 5T2
											


		

											Terça-feira 14:00 às 15:50Quinta-feira 14:00 às 14:55",,60
01,2025.1,SERGIO ANTONIO ANDRADE DE FREITAS (60h),"24M12
											


		

											Segunda-feira 08:00 às 09:50Quarta-feira 08:00 às 09:50",,60
01,2025.1,CRISTIANE LOESCH DE SOUZA COSTA (60h),"24M12
											


		

											Segunda-feira 08:00 às 09:50Quarta-feira 08:00 às 09:50",,120
02,2025.1,CRISTIANE LOESCH DE SOUZA COSTA (60h),"24M34
											


		

											Segunda-feira 10:00 às 11:50Quarta-feira 10:00 às 11:50",,120
01,2025.1,JORGE ANDRES CORMANE ANGARITA (60h),"24M12
											


		

											Segunda-feira 08:00 às 09:50Quarta-feira 08:00 às 09:50",,45
02,2025.1,FLAVIO HENRIQUE JUSTINIANO RIBEIRO DA SILVA (60h),"24T45
											


		

											Segunda-feira 16:00 às 17:50Quarta-feira 16:00 às 17:50",,45
01,2025.1,JORGE ANDRES CORMANE ANGARITA (30h),"2M34
											


		

											Segunda-feira 10:00 às 11:50",,20
03,2025.1,RUDI HENRI VAN ELS (30h),"3T23
											


		

											Terça-feira 14:00 às 15:50",,20
01,2025.1,FLAVIO HENRIQUE JUSTINIANO RIBEIRO DA SILVA (60h),"46M12
											


		

											Quarta-feira 08:00 às 09:50Sexta-feira 08:00 às 09:50",,40
01,2025.1,RUDI HENRI VAN ELS (30h),"4T45
											


		

											Quarta-feira 16:00 às 17:50",,20
02,2025.1,RUDI HENRI VAN ELS (30h),"4T23
											


		

											Quarta-feira 14:00 às 15:50",,20
01,2025.1,EBERTH DE ALMEIDA CORREA (60h),"35T23
											


		

											Terça-feira 14:00 às 15:50Quinta-feira 14:00 às 15:50",,45
01,2025.1,"LUCIANO GONCALVES NOLETO (45h)
										
										
										FELIPE CHAGAS STORTI (45h)","24M12  4T2
											


		

											Segunda-feira 08:00 às 09:50Quarta-feira 08:00 às 09:50Quarta-feira 14:00 às 14:55",,25
01,2025.1,SEBASTIEN ROLAND MARIE JOSEPH RONDINEAU (75h),"3M125 5M12
											


		

											Terça-feira 08:00 às 09:50Terça-feira 12:00 às 12:55Quinta-feira 08:00 às 09:50",,50
01,2025.1,ROBERTO DE SOUZA BAPTISTA (75h),"3T123 5T23
											


		

											Terça-feira 12:55 às 15:50Quinta-feira 14:00 às 15:50",,35
02,2025.1,THIAGO FELIPPE KURUDEZ CORDEIRO (75h),"46T23 5T1
											


		

											Quarta-feira 14:00 às 15:50Quinta-feira 12:55 às 13:50Sexta-feira 14:00 às 15:50",,35
01,2025.1,DANIEL COSTA ARAUJO (60h),"35M12
											


		

											Terça-feira 08:00 às 09:50Quinta-feira 08:00 às 09:50",,20
01,2025.1,WELLINGTON AVELINO DO AMARAL (60h),"35T23
											


		

											Terça-feira 14:00 às 15:50Quinta-feira 14:00 às 15:50",,20
01,2025.1,TIAGO MARTINS DE BRITO (30h),"2T45
											


		

											Segunda-feira 16:00 às 17:50",,20
01,2025.1,WELLINGTON AVELINO DO AMARAL (60h),"35T45
											


		

											Terça-feira 16:00 às 17:50Quinta-feira 16:00 às 17:50",,45
01,2025.1,MARCUS VINICIUS BATISTUTA (30h),"5M12
											


		

											Quinta-feira 08:00 às 09:50",,20
02,2025.1,GERARDO ANTONIO IDROBO PIZO (30h),"3M5  3T1
											


		

											Terça-feira 12:00 às 13:50",,20
01,2025.1,MARCUS VINICIUS BATISTUTA (60h),"35T45
											


		

											Terça-feira 16:00 às 17:50Quinta-feira 16:00 às 17:50",,60
01,2025.1,LUIS FILOMENO DE JESUS FERNANDES (90h),"356T23
											


		

											Terça-feira 14:00 às 15:50Quinta-feira 14:00 às 15:50Sexta-feira 14:00 às 15:50",,35
02,2025.1,LUCIANO EMIDIO NEVES DA FONSECA (90h),"246M12
											


		

											Segunda-feira 08:00 às 09:50Quarta-feira 08:00 às 09:50Sexta-feira 08:00 às 09:50",,35
01,2025.1,ROSEANY DE VASCONCELOS VIEIRA LOPES (60h),"24M34
											


		

											Segunda-feira 10:00 às 11:50Quarta-feira 10:00 às 11:50",,45
01,2025.1,LUI TXAI CALVOSO HABL (60h),"24M34
											


		

											Segunda-feira 10:00 às 11:50Quarta-feira 10:00 às 11:50",,30
02,2025.1,ARTUR ELIAS DE MORAIS BERTOLDI (60h),"35T45
											


		

											Terça-feira 16:00 às 17:50Quinta-feira 16:00 às 17:50",,40
01,2025.1,SEBASTIEN ROLAND MARIE JOSEPH RONDINEAU (60h),"35M34
											


		

											Terça-feira 10:00 às 11:50Quinta-feira 10:00 às 11:50",,45
02,2025.1,ARTUR ELIAS DE MORAIS BERTOLDI (60h),"35T6  35N1
											


		

											Terça-feira 18:00 às 19:50Quinta-feira 18:00 às 19:50",,25
01,2025.1,EBERTH DE ALMEIDA CORREA (30h),"3M34
											


		

											Terça-feira 10:00 às 11:50",,24
02,2025.1,LINDOMAR BOMFIM DE CARVALHO DE JESUS (60h),"35M34
											


		

											Terça-feira 10:00 às 11:50Quinta-feira 10:00 às 11:50",,60
03,2025.1,CRISTIANE LOESCH DE SOUZA COSTA (60h),"24M5  24T1
											


		

											Segunda-feira 12:00 às 13:50Quarta-feira 12:00 às 13:50",,90
01,2025.1,RENATO CORAL SAMPAIO (60h),"35T23
											


		

											Terça-feira 14:00 às 15:50Quinta-feira 14:00 às 15:50",,80
01,2025.1,ANDRE LUIZ ALMEIDA PENNA (60h),"24T23
											


		

											Segunda-feira 14:00 às 15:50Quarta-feira 14:00 às 15:50",,60
02,2025.1,ANDRE LUIZ ALMEIDA PENNA (60h),"46M12
											


		

											Quarta-feira 08:00 às 09:50Sexta-feira 08:00 às 09:50",,60
